"parent","id","name","value","final_layer"
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.ROCKWELL COLLINS, INC.","ROCKWELL COLLINS, INC.","57400",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.SHELLI INDUSTRIES LLC","SHELLI INDUSTRIES LLC","30276",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.SOUTHERN GEAR & MACHINE, INC.","SOUTHERN GEAR & MACHINE, INC.","306355",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.SPACE VECTOR CORPORATION","SPACE VECTOR CORPORATION","322044",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.SPARTRONICS LOGAN, LLC","SPARTRONICS LOGAN, LLC","359973",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.STANLEY MACHINING & TOOL CORP.","STANLEY MACHINING & TOOL CORP.","784273",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.TELETRONICS TECHNOLOGY CORPORATION","TELETRONICS TECHNOLOGY CORPORATION","3083940",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.TEVET, LLC","TEVET, LLC","116532",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.TRI MODELS, INC.","TRI MODELS, INC.","4994498",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.TRIUMPH ENGINEERED SOLUTIONS, INC.","TRIUMPH ENGINEERED SOLUTIONS, INC.","87531",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.UNI-CAST, INC.","UNI-CAST, INC.","3381250",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.UNI-CAST, LLC","UNI-CAST, LLC","439350",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.VENTURA AEROSPACE, INC.","VENTURA AEROSPACE, INC.","284640",TRUE
"All.DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA).RAYTHEON COMPANY","All.DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA).RAYTHEON COMPANY.ALLCOMP INC.","ALLCOMP INC.","60942",TRUE
"All.DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA).RAYTHEON COMPANY","All.DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA).RAYTHEON COMPANY.ALLIANT TECHSYSTEMS OPERATIONS LLC","ALLIANT TECHSYSTEMS OPERATIONS LLC","35100000",TRUE
"All.DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA).RAYTHEON COMPANY","All.DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA).RAYTHEON COMPANY.DYNETICS TECHNICAL SOLUTIONS, INC.","DYNETICS TECHNICAL SOLUTIONS, INC.","314154",TRUE
"All.DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA).RAYTHEON COMPANY","All.DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA).RAYTHEON COMPANY.JANSEN'S AIRCRAFT SYSTEMS CONTROLS, INC.","JANSEN'S AIRCRAFT SYSTEMS CONTROLS, INC.","145786",TRUE
"All.DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA).RAYTHEON COMPANY","All.DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA).RAYTHEON COMPANY.PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC","PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC","891828",TRUE
"All.DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA).RAYTHEON COMPANY","All.DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA).RAYTHEON COMPANY.PORT ELECTRONICS CORP.","PORT ELECTRONICS CORP.","168218",TRUE
"All.DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA).RAYTHEON COMPANY","All.DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA).RAYTHEON COMPANY.SPACE VECTOR CORPORATION","SPACE VECTOR CORPORATION","162517",TRUE
